brand_name,generic_name
Epilim Chronosphere MR 500mg granules sachets,sodium valproate 500mg modified-release granules sachets sugar free
Episenta 300mg/3ml solution for injection ampoules,sodium valproate 300mg/3ml solution for injection ampoules
Epival CR 300mg tablets,Sodium valproate 300mg modified-release tablets
Epival CR 500mg tablets,Sodium valproate 500mg modified-release tablets
Estraderm MX 100 patches,Estradiol 100micrograms/24hours transdermal patches
Estraderm MX 25 patches,Estradiol 25micrograms/24hours transdermal patches
Estraderm MX 75 patches,Estradiol 75micrograms/24hours transdermal patches
Estradot 25micrograms/24hours patches,estradiol 25micrograms/24hours transdermal patches
Estradot 75micrograms/24hours patches,estradiol 75micrograms/24hours transdermal patches
Eumon 40 XL tablets,Isosorbide mononitrate 40mg modified-release tablets
Eumovate 0.05% cream,Clobetasone 0.05% cream
Eumovate Eczema and Dermatitis 0.05% cream,Clobetasone 0.05% cream
Eurax 10% cream,Crotamiton 10% cream
Evacal D3 1500mg/400unit chewable tablets,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets
Evorel 100 patches,Estradiol 100micrograms/24hours transdermal patches
Evorel 25 patches,Estradiol 25micrograms/24hours transdermal patches
Evorel 50 patches,Estradiol 50micrograms/24hours transdermal patches
Evorel 75 patches,Estradiol 75micrograms/24hours transdermal patches
Evorel Conti patches,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches
Evra transdermal patches,Ethinylestradiol 33.9micrograms/24hours / Norelgestromin 203micrograms/24hours transdermal patches
Exocin 0.3% eye drops,Ofloxacin 0.3% eye drops
Eyeaze Carmellose 1% eye drops preservative free,dexamethasone 0.1% eye drops preservative free
Eyeaze Lyte 0.1% eye drops preservative free,dexamethasone 0.1% eye drops preservative free
Eylamdo 20mg/ml / 5mg/ml eye drops,Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops preservative free
Ezinelle 1.5mg tablets,Levonorgestrel 1.5mg tablets
FML Liquifilm 0.1% ophthalmic suspension,Fluorometholone 0.1% eye drops
Faverin 100mg tablets,Fluvoxamine 100mg tablets
Faverin 50mg tablets,Fluvoxamine 50mg tablets
FemSeven 50 patches,Estradiol 50micrograms/24hours transdermal patches
FemSeven 75 patches,Estradiol 75micrograms/24hours transdermal patches
Femoston-conti 1mg/5mg tablets,Estradiol 1mg / Dydrogesterone 5mg tablets
Fenbid 5% gel,Ibuprofen 5% gel
FerroDose-F 322mg tablets,Ferrous fumarate 322mg tablets
FerroDose-S 200mg tablets,Ferrous sulfate 200mg tablets
FerroEss 210mg tablets,ferrous fumarate 210mg tablets
FerroEss 322mg tablets,ferrous fumarate 322mg tablets
FerroTab 200mg tablets,Ferrous sulfate 200mg tablets
Finacea 15% gel,Azelaic acid 15% gel
Fixkoh Airmaster 50micrograms/dose / 100micrograms/dose dry powder inhaler,Fluticasone propionate 100micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler
Flamazine 1% cream,Sulfadiazine silver 1% cream
Flixonase 50micrograms/dose aqueous nasal spray,Fluticasone propionate 50micrograms/dose nasal spray
Flixotide 125micrograms/dose Evohaler,Fluticasone 125micrograms/dose inhaler CFC free
Flixotide 250micrograms/dose Accuhaler,fluticasone propionate 250micrograms/dose dry powder inhaler
Flixotide 250micrograms/dose Evohaler,fluticasone 250micrograms/dose inhaler cfc free
Flixotide 25micrograms/dose inhaler,fluticasone 125micrograms/dose / salmeterol 25micrograms/dose inhaler cfc free
Flomaxtra XL 400microgram tablets,tamsulosin 400microgram modified-release tablets
Fluanxol 1mg tablets,Flupentixol 1mg tablets
Fluanxol 500microgram tablets,Flupentixol 500microgram tablets
Fluoritop HF 5000ppm fluoride toothpaste,Sodium fluoride 1.1% dental paste sugar free
Fluoritop LF 2800ppm fluoride toothpaste,Sodium fluoride 0.619% dental paste sugar free
Flutiform 125micrograms/dose / 5micrograms/dose inhaler,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free
Flutiform 250micrograms/dose / 10micrograms/dose inhaler,Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free
Flutiform 50micrograms/dose / 5micrograms/dose inhaler,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free
Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Folpik XL 10mg tablets,Felodipine 10mg modified-release tablets
Forxiga 5mg tablets,Dapagliflozin 5mg tablets
Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Fucibet cream,Betamethasone valerate 0.1% / Fusidic acid 2% cream
Fucidin 20mg/g cream,Fusidic acid 2% cream
Fucidin 20mg/g ointment,Sodium fusidate 2% ointment
Fucidin H cream,Hydrocortisone acetate 1% / Fusidic acid 2% cream
"Fultium-D3 20,000unit capsules","Colecalciferol 20,000unit capsules"
Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler,fluticasone propionate 250micrograms/dose / salmeterol 50micrograms/dose dry powder inhaler
Fybogel Mebeverine effervescent granules sachets orange,Ispaghula husk 3.5g / Mebeverine 135mg effervescent granules sachets sugar free
Fycompa 6mg tablets,perampanel 6mg tablets
Ganfort 0.3mg/ml / 5mg/ml eye drops 0.4ml unit dose,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free
Gaviscon Infant oral powder sachets,Sodium alginate 225mg/dose / Magnesium alginate 87.5mg/dose oral powder sachets sugar free
Gedarel 20microgram/150microgram tablets,Ethinylestradiol 20microgram / Desogestrel 150microgram tablets
Gedarel 30microgram/150microgram tablets,Ethinylestradiol 30microgram / Desogestrel 150microgram tablets
GelTears 0.2% gel,carbomer '980' 0.2% eye drops
Gepretix 200mg capsules,progesterone micronised 200mg capsules
Germoloids cream,Zinc oxide 6.6% / Lidocaine 0.7% rectal cream
Giraxine 10mg tablets,Solifenacin 10mg tablets
Glucophage SR 1000mg tablets,Metformin 1g modified-release tablets
Golden Eye Antibiotic 1% eye ointment,Chloramphenicol 1% eye ointment
Gynest vaginal applicator type 1,Estriol 0.01% vaginal cream with applicator
Gyno-Pevaryl 1% cream,Econazole 1% vaginal cream
Half Sinemet CR 25mg/100mg tablets,co-careldopa 25mg/100mg modified-release tablets
Hayleve 4mg tablets,Chlorphenamine 4mg tablets
Hiprex 1g tablets,methenamine hippurate 1g tablets
Hirudoid 0.3% cream,Heparinoid 0.3% cream
"Hux D3 20,000unit capsules","colecalciferol 20,000unit capsules"
Hydventia 10mg tablets,Hydrocortisone 10mg tablets
Hylo-Tear 0.1% eye drops preservative free,dexamethasone 0.1% eye drops preservative free
Hypnovel 10mg/2ml solution for injection ampoules,Midazolam 10mg/2ml solution for injection ampoules
Hypovase 500microgram tablets,Prazosin 500microgram tablets
Iasibon 50mg tablets,Ibandronic acid 50mg tablets
Ilaxten 20mg tablets,bilastine 20mg tablets
